date,Beans_brown,Gari_white,Groundnut_oil,Maize_white,Palm_oil,Rice_imported,Rice_local,Vegetable_oil,Yam,Rice_local_outlier_methodA,Rice_local_outlier_methodB,Rice_imported_outlier_methodA,Rice_imported_outlier_methodB,Gari_white_outlier_methodA,Gari_white_outlier_methodB,Beans_brown_outlier_methodA,Beans_brown_outlier_methodB,Palm_oil_outlier_methodA,Palm_oil_outlier_methodB,Groundnut_oil_outlier_methodA,Groundnut_oil_outlier_methodB,Vegetable_oil_outlier_methodA,Vegetable_oil_outlier_methodB,Yam_outlier_methodA,Yam_outlier_methodB,Maize_white_outlier_methodA,Maize_white_outlier_methodB,fuel_price_ngn_per_litre,fuel_outlier_flag,exchange_rate,all_items_cpi,food_cpi,all_items_cpi_outlier_flag,food_cpi_outlier_flag,rfh,rfh_avg,rainfall_anomaly,rainfall_outlier_flag,post_covid,post_subsidy_removal
2016-01-01,236.81,132.46,466.75,91.02,402.53,239.08,163.29,426.57,147.71,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,109.59,False,198.8,181.7076661932753,187.92069184717352,False,False,177.0458388961,312.282101039826,-32.6376,False,False,False
2016-02-01,238.02,135.46,490.53,92.7,424.67,244.25,172.74,448.57,149.77,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,99.77,False,198.8,185.8928768406955,190.5106253836117,False,False,145.5638105278,666.15184501488,-62.2029,False,False,False
2016-03-01,240.91,144.04,513.25,100.54,437.12,270.14,200.43,465.12,156.59,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,135.7,False,198.8,189.93501093282197,194.86921181476683,False,False,2959.336574692,1881.49917193699,67.6294,False,False,False
2016-04-01,263.57,163.36,532.05,109.29,437.84,298.86,217.94,488.01,175.72,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,162.83,False,198.8,192.99391978523843,197.3975376000611,False,False,3063.1713104,3482.5445782,14.5225,False,False,False
2016-05-01,256.41,176.72,555.6,116.1,442.4,316.83,235.01,507.68,182.83,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,150.28,False,198.8,198.30441521333407,202.4648004378309,False,False,5633.2637938,5971.3590159,-2.0322,False,False,False
2016-06-01,276.59,181.07,573.55,124.63,451.01,336.56,258.67,523.44,219.86,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,148.55,False,281.72,201.70378740537373,205.3865605977017,False,False,7202.579173,7840.072022,-2.9588,False,False,False
2016-07-01,288.32,187.74,587.27,132.18,461.39,338.07,268.27,536.36,207.62,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,147.67,False,318.0,204.2307292486028,207.86530021115183,False,False,9353.305018,9457.908707,-0.9384,False,False,False
2016-08-01,293.56,191.5,599.68,139.93,486.88,370.3,289.3,555.13,199.62,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,147.26,False,310.0,206.2859888822054,210.30152097749595,False,False,9654.553398,9399.02164,1.1675,False,False,False
2016-09-01,305.29,191.79,598.51,150.25,517.4,365.21,284.5,594.43,201.72,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,146.34,False,304.5,207.963228351157,212.00003575253356,False,False,8974.486198,9128.5706,-2.813,False,False,False
2016-10-01,345.48,191.02,608.11,150.53,529.45,388.79,281.67,616.64,202.89,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,145.95,False,304.5,209.68099241244283,213.81759524456305,False,False,5605.70275231,6104.4411808,-16.9337,False,False,False
