commodity,date,forecast,lower_80,upper_80,arima_order
Rice_local,2026-06-01,1917.7,1828.56,2011.19,"(3, 1, 0)"
Rice_local,2026-07-01,1928.57,1786.46,2081.99,"(3, 1, 0)"
Rice_local,2026-08-01,1937.81,1739.95,2158.16,"(3, 1, 0)"
Rice_local,2026-09-01,1946.3,1685.62,2247.29,"(3, 1, 0)"
Rice_local,2026-10-01,1953.79,1632.52,2338.29,"(3, 1, 0)"
Rice_local,2026-11-01,1960.4,1579.4,2433.31,"(3, 1, 0)"
Rice_imported,2026-06-01,2254.45,2158.06,2355.14,"(3, 1, 0)"
Rice_imported,2026-07-01,2262.57,2114.75,2420.73,"(3, 1, 0)"
Rice_imported,2026-08-01,2270.26,2065.97,2494.74,"(3, 1, 0)"
Rice_imported,2026-09-01,2276.69,2006.98,2582.64,"(3, 1, 0)"
Rice_imported,2026-10-01,2282.57,1951.02,2670.46,"(3, 1, 0)"
Rice_imported,2026-11-01,2287.84,1894.44,2762.95,"(3, 1, 0)"
Gari_white,2026-06-01,814.05,750.37,883.13,"(1, 1, 1)"
Gari_white,2026-07-01,814.75,716.59,926.35,"(1, 1, 1)"
Gari_white,2026-08-01,815.35,686.48,968.41,"(1, 1, 1)"
Gari_white,2026-09-01,815.87,658.52,1010.82,"(1, 1, 1)"
Gari_white,2026-10-01,816.32,632.3,1053.89,"(1, 1, 1)"
Gari_white,2026-11-01,816.7,607.67,1097.65,"(1, 1, 1)"
Beans_brown,2026-06-01,1362.59,1275.17,1456.0,"(5, 1, 0)"
Beans_brown,2026-07-01,1366.29,1223.39,1525.89,"(5, 1, 0)"
Beans_brown,2026-08-01,1369.86,1178.95,1591.69,"(5, 1, 0)"
Beans_brown,2026-09-01,1373.4,1133.26,1664.44,"(5, 1, 0)"
Beans_brown,2026-10-01,1379.5,1080.37,1761.46,"(5, 1, 0)"
Beans_brown,2026-11-01,1379.53,1031.83,1844.39,"(5, 1, 0)"
Palm_oil,2026-06-01,3196.95,3050.35,3350.6,"(2, 1, 0)"
Palm_oil,2026-07-01,3197.2,2985.32,3424.11,"(2, 1, 0)"
Palm_oil,2026-08-01,3197.75,2904.66,3520.41,"(2, 1, 0)"
Palm_oil,2026-09-01,3197.87,2839.97,3600.87,"(2, 1, 0)"
Palm_oil,2026-10-01,3198.08,2777.47,3682.39,"(2, 1, 0)"
Palm_oil,2026-11-01,3198.14,2722.97,3756.23,"(2, 1, 0)"
Groundnut_oil,2026-06-01,4116.27,3916.74,4325.96,"(4, 1, 1)"
Groundnut_oil,2026-07-01,4111.34,3868.78,4369.09,"(4, 1, 1)"
Groundnut_oil,2026-08-01,4104.4,3808.43,4423.37,"(4, 1, 1)"
Groundnut_oil,2026-09-01,4098.83,3749.33,4480.91,"(4, 1, 1)"
Groundnut_oil,2026-10-01,4088.01,3671.49,4551.79,"(4, 1, 1)"
Groundnut_oil,2026-11-01,4081.04,3601.95,4623.85,"(4, 1, 1)"
Vegetable_oil,2026-06-01,4396.14,4244.92,4552.75,"(2, 1, 4)"
Vegetable_oil,2026-07-01,4411.64,4194.43,4640.09,"(2, 1, 4)"
Vegetable_oil,2026-08-01,4450.46,4180.23,4738.17,"(2, 1, 4)"
Vegetable_oil,2026-09-01,4479.77,4160.21,4823.87,"(2, 1, 4)"
Vegetable_oil,2026-10-01,4511.99,4113.04,4949.63,"(2, 1, 4)"
Vegetable_oil,2026-11-01,4539.16,4061.46,5073.03,"(2, 1, 4)"
Yam,2026-06-01,2377.02,2152.37,2625.12,"(0, 1, 1)"
Yam,2026-07-01,2377.02,2025.79,2789.16,"(0, 1, 1)"
Yam,2026-08-01,2377.02,1940.0,2912.49,"(0, 1, 1)"
Yam,2026-09-01,2377.02,1872.25,3017.89,"(0, 1, 1)"
Yam,2026-10-01,2377.02,1815.27,3112.61,"(0, 1, 1)"
Yam,2026-11-01,2377.02,1765.67,3200.06,"(0, 1, 1)"
Maize_white,2026-06-01,815.83,744.28,894.26,"(0, 1, 0)"
Maize_white,2026-07-01,815.83,716.51,928.92,"(0, 1, 0)"
Maize_white,2026-08-01,815.83,695.91,956.42,"(0, 1, 0)"
Maize_white,2026-09-01,815.83,679.0,980.23,"(0, 1, 0)"
Maize_white,2026-10-01,815.83,664.44,1001.71,"(0, 1, 0)"
Maize_white,2026-11-01,815.83,651.55,1021.53,"(0, 1, 0)"
